"","id_i","druhK_opraveno","druhO_opraveno","pocet"
"41387","23-8-19-7-34-L2","nic","nic",NA
"41390","24-8-18-7-59-L9","nic","nic",NA
"41392","24-8-18-8-7-L2","nic","nic",NA
"41393","19-8-20-14-48-33","nic","nic",NA
"41501","23-8-16-17-2-38","nic","nic",NA
"41520","19-8-22-18-23-85","nic","nic",NA
"41541","22-8-17-16-44-27","nic","nic",NA
"41579","19-8-21-9-43-L6","nic","nic",NA
"41600","24-8-17-6-41-14","nic","nic",NA
"41637","24-8-18-16-2-57","nic","nic",NA
"41668","19-8-18-18-34-34","nic","nic",NA
"41696","24-8-18-18-15-L2","nic","nic",NA
"41702","19-8-21-9-37-L7","nic","nic",NA
"41731","24-8-18-7-16-17","nic","nic",NA
"41733","24-8-18-7-18-15","nic","nic",NA
"41734","19-8-21-10-25-87","nic","nic",NA
"41754","23-8-19-7-42-96","nic","nic",NA
"41794","19-8-21-16-4-41","nic","nic",NA
"41818","23-8-15-12-55-96","nic","nic",NA
"41879","19-8-22-8-58-2","nic","nic",NA
"41934","24-8-17-0-6-22","nic","nic",NA
"41963","22-8-19-9-46-54","nic","nic",NA
"42000","24-8-17-7-32-48","nic","nic",NA
"42004","19-8-22-10-48-25","nic","nic",NA
"42024","24-8-17-9-4-L5","nic","nic",NA
"42064","19-8-22-17-14-L6","nic","nic",NA
"42100","19-8-21-10-27-89","nic","nic",NA
"42105","19-8-21-10-30-92","nic","nic",NA
"42107","23-8-18-19-19-36","nic","nic",NA
"42119","19-8-20-14-47-29","nic","nic",NA
"42135","23-8-19-8-3-81","nic","nic",NA
"42138","19-8-21-12-23-94","nic","nic",NA
"42140","19-8-21-12-27-98","nic","nic",NA
"42183","19-8-22-19-15-20","nic","nic",NA
"42227","23-8-19-10-19-24","nic","nic",NA
"42233","19-8-23-8-5-L3","nic","nic",NA
"42241","19-8-23-8-14-L7","nic","nic",NA
"42246","19-8-23-8-27-4","nic","nic",NA
"42271","24-8-17-14-9-L5","nic","nic",NA
"42300","24-8-17-15-40-94","nic","nic",NA
"42350","19-8-21-13-23-63","nic","nic",NA
"42351","14-8-20-16-37-53","nic","nic","O"
"42376","19-8-18-18-30-96","nic","nic",NA
"42380","24-8-17-17-44-84","nic","nic",NA
"42405","19-8-21-15-48-98","nic","nic",NA
"42445","19-8-21-10-5-72","nic","nic",NA
"42467","19-8-17-15-8-72","nic","nic",NA
"42493","24-8-18-8-37-47","nic","nic",NA
"42528","23-8-20-8-20-80","nic","nic",NA
"42537","19-8-21-10-19-35","nic","nic",NA
"42564","19-8-22-14-12-1","nic","nic",NA
"42582","19-8-21-11-4-79","nic","nic",NA
"42583","19-8-21-11-5-80","nic","nic",NA
"42646","23-8-20-12-55-53","nic","nic",NA
"42649","19-8-22-10-5-44","nic","nic",NA
"42686","24-8-17-6-23-5","nic","nic",NA
"42687","24-8-17-6-24-6","nic","nic",NA
"42751","19-8-21-13-45-92","nic","nic",NA
"42823","23-8-14-13-21-L10","nic","nic",NA
"42825","23-8-18-19-13-26","nic","nic",NA
"42841","19-8-18-11-29-L8","nic","nic",NA
"42854","19-8-18-12-7-L6","nic","nic",NA
"42860","19-8-18-12-13-84","nic","nic",NA
"42905","23-8-20-8-54-95","nic","nic",NA
"42913","23-8-15-12-58-L10","nic","nic",NA
"42916","19-8-22-19-24-26","nic","nic",NA
"42932","23-8-14-16-59-82","nic","nic",NA
"42941","23-8-17-16-39-L3","nic","nic",NA
"42955","19-8-18-14-11-84","nic","nic",NA
"42959","19-8-18-14-15-L7","nic","nic",NA
"43016","22-8-17-17-3-39","nic","nic",NA
"43018","23-8-18-14-15-25","nic","nic",NA
"43033","22-8-19-9-25-38","nic","nic",NA
"43074","19-8-18-17-31-84","nic","nic",NA
"43084","24-8-17-7-13-35","nic","nic",NA
"43088","19-8-18-17-44-95","nic","nic",NA
"43089","23-8-18-16-54-16","nic","nic",NA
"43099","19-8-22-10-51-27","nic","nic",NA
"43103","19-8-18-18-29-98","nic","nic",NA
"43112","19-8-18-18-35-92","nic","nic",NA
"43114","19-8-18-18-37-L5","nic","nic",NA
"43119","23-8-15-9-23-87","nic","nic",NA
"43121","23-8-15-9-24-88","nic","nic",NA
"43123","19-8-18-18-47-L1","nic","nic",NA
"43130","23-8-15-9-34-L6","nic","nic",NA
"43132","23-8-15-9-36-L10","nic","nic",NA
"43157","19-8-18-19-29-58","nic","nic",NA
"43174","23-8-18-18-34-91","nic","nic",NA
"43184","23-8-18-18-56-L4","nic","nic",NA
"43185","19-8-21-10-15-79","nic","nic",NA
"43192","19-8-21-10-24-86","nic","nic",NA
"43203","19-8-21-10-37-L6","nic","nic",NA
"43208","23-8-15-11-41-51","nic","nic",NA
"43213","19-8-21-12-0-L3","nic","nic",NA
"43227","23-8-15-12-5-64","nic","nic",NA
"43234","19-8-21-12-25-96","nic","nic",NA
"43270","23-8-15-12-45-87","nic","nic",NA
"43273","19-8-22-19-8-16","nic","nic",NA
"43288","23-8-15-14-37-4","nic","nic",NA
"43297","24-8-18-10-52-92","nic","nic",NA
"43369","19-8-23-8-56-17","nic","nic",NA
"43374","19-8-22-8-22-76","nic","nic",NA
"43400","23-8-15-16-55-78","nic","nic",NA
"43408","19-8-18-17-4-69","nic","nic",NA
"43434","22-8-18-8-13-23","nic","nic",NA
"43444","24-8-18-15-21-51","nic","nic",NA
"43446","19-8-18-17-38-90","nic","nic",NA
"43492","23-8-16-9-48-98","nic","nic",NA
"43533","19-8-21-9-50-65","nic","nic",NA
"43539","22-8-17-10-53-26","nic","nic",NA
"43544","22-8-17-11-4-32","nic","nic",NA
"43552","19-8-21-10-22-84","nic","nic",NA
"43577","22-8-17-13-23-53","nic","nic",NA
"43681","19-8-21-19-10-L7","nic","nic",NA
"43698","19-8-22-7-16-55","nic","nic",NA
"43726","19-8-22-8-15-70","nic","nic",NA
"43727","19-8-22-8-17-71","nic","nic",NA
"43772","19-8-22-9-34-L3","nic","nic",NA
"43774","19-8-22-9-48-L5","nic","nic",NA
"43783","23-8-15-17-13-92","nic","nic",NA
"43797","19-8-18-9-29-72","nic","nic",NA
"43812","22-8-18-8-29-37","nic","nic",NA
"43813","22-8-18-8-30-38","nic","nic",NA
"43815","22-8-18-8-31-39","nic","nic",NA
"43817","19-8-22-10-38-17","nic","nic",NA
"43836","24-8-18-16-11-63","nic","nic",NA
"43908","22-8-17-11-5-33","nic","nic",NA
"43921","24-8-18-7-20-14","nic","nic",NA
"43947","19-8-18-12-8-98","nic","nic",NA
"44000","19-8-22-9-14-90","nic","nic",NA
"44001","19-8-22-14-0-L6","nic","nic",NA
"44025","22-8-18-13-21-11","nic","nic",NA
"44078","22-8-18-17-34-81","nic","nic",NA
"44080","22-8-18-17-37-84","nic","nic",NA
"44085","19-8-22-9-16-18","nic","nic",NA
"44114","22-8-19-8-26-77","nic","nic",NA
"44116","22-8-19-8-30-73","nic","nic",NA
"44132","24-8-18-13-53-25","nic","nic",NA
"44135","24-8-17-0-46-67","nic","nic",NA
"44142","24-8-17-0-55-91","nic","nic",NA
"44155","23-8-18-16-26-1","nic","nic",NA
"44167","24-8-17-6-57-24","nic","nic",NA
"44210","22-8-18-17-47-92","nic","nic",NA
"44245","19-8-18-19-21-54","nic","nic",NA
"44248","19-8-22-17-7-L5","nic","nic",NA
"44255","19-8-21-9-47-L4","nic","nic",NA
"44266","19-8-21-10-7-73","nic","nic",NA
"44279","23-8-15-11-7-28","nic","nic",NA
"44294","19-8-21-10-36-96","nic","nic",NA
"44298","23-8-19-7-17-L7","nic","nic",NA
"44300","23-8-19-7-26-L10","nic","nic",NA
"44302","19-8-22-18-14-78","nic","nic",NA
"44304","23-8-20-7-18-50","nic","nic",NA
"44309","23-8-19-7-43-92","nic","nic",NA
"44310","23-8-19-7-45-94","nic","nic",NA
"44342","23-8-20-8-13-76","nic","nic",NA
"44364","19-8-22-19-10-17","nic","nic",NA
"44379","23-8-15-14-35-2","nic","nic",NA
"44381","19-8-22-19-25-28","nic","nic",NA
"44389","19-8-23-7-6-39","nic","nic",NA
"44392","19-8-23-7-10-44","nic","nic",NA
"44407","19-8-23-7-31-86","nic","nic",NA
"44413","19-8-23-7-36-91","nic","nic",NA
"44415","19-8-23-7-50-L5","nic","nic",NA
"44422","19-8-21-13-49-15","nic","nic",NA
"44434","23-8-19-7-51-89","nic","nic",NA
"44454","23-8-19-11-58-90","nic","nic",NA
"44455","23-8-19-12-3-88","nic","nic",NA
"44472","24-8-16-23-41-14","nic","nic",NA
"44497","23-8-18-14-51-L2","nic","nic",NA
"44507","24-8-17-6-21-3","nic","nic",NA
"44509","19-8-23-9-51-37","nic","nic",NA
"44520","23-8-18-16-26-2","nic","nic",NA
"44526","23-8-19-13-48-84","nic","nic",NA
"44547","19-8-23-10-15-49","nic","nic",NA
"44554","24-8-17-13-16-22","nic","nic",NA
"44557","19-8-22-18-22-84","nic","nic",NA
"44623","19-8-21-9-46-L5","nic","nic",NA
"44642","19-8-21-10-16-80","nic","nic",NA
"44648","19-8-21-10-26-88","nic","nic",NA
"44664","24-8-18-7-29-2","nic","nic",NA
"44674","23-8-20-7-22-53","nic","nic",NA
"44697","19-8-22-12-53-93","nic","nic",NA
"44725","23-8-20-8-49-90","nic","nic",NA
