"","id_i","druhK_opraveno","druhO_opraveno","pocet"
"47690","22-8-18-13-42-25","nic","nic",NA
"47691","19-8-23-7-34-89","nic","nic",NA
"47701","19-8-23-8-5-L2","nic","nic",NA
"47703","19-8-23-8-9-L9","nic","nic",NA
"47709","23-8-19-10-56-L5","nic","nic",NA
"47711","23-8-19-10-59-L6","nic","nic",NA
"47721","23-8-19-11-31-4","nic","nic",NA
"47722","24-8-17-13-22-L1","nic","nic",NA
"47727","23-8-19-11-50-96","nic","nic",NA
"47735","24-8-17-14-2-L7","nic","nic",NA
"47737","23-8-19-12-4-87","nic","nic",NA
"47740","24-8-17-14-38-1","nic","nic",NA
"47741","24-8-17-14-39-2","nic","nic",NA
"47744","19-8-23-8-53-15","nic","nic",NA
"47785","19-8-23-9-23-26","nic","nic",NA
"47848","19-8-20-13-52-67","nic","nic",NA
"47850","19-8-20-14-7-2","nic","nic",NA
"47853","19-8-23-10-43-59","nic","nic",NA
"47868","23-8-19-15-24-46","nic","nic",NA
"47869","23-8-16-9-53-93","nic","nic",NA
"47870","19-8-21-15-48-L6","nic","nic",NA
"47871","23-8-16-9-57-90","nic","nic",NA
"47899","19-8-21-16-40-L8","nic","nic",NA
"47914","19-8-20-14-29-15","nic","nic",NA
"47940","19-8-23-12-27-89","nic","nic",NA
"47950","23-8-20-7-16-49","nic","nic",NA
"47952","23-8-20-7-19-51","nic","nic",NA
"47954","24-8-18-8-4-L6","nic","nic",NA
"47957","24-8-18-8-35-45","nic","nic",NA
"47965","23-8-20-7-43-63","nic","nic",NA
"47973","24-8-18-8-55-58","nic","nic",NA
"48000","23-8-20-8-26-84","nic","nic",NA
"48004","23-8-20-8-30-88","nic","nic",NA
"48017","23-8-17-14-52-59","nic","nic",NA
"48050","19-8-21-19-1-81","nic","nic",NA
"48055","19-8-21-19-11-L8","nic","nic",NA
"48064","23-8-20-11-44-17","nic","nic",NA
"48068","23-8-20-11-49-19","nic","nic",NA
"48074","19-8-21-12-1-2","nic","nic",NA
"48089","19-8-22-7-46-L2","nic","nic",NA
"48099","23-8-20-12-41-45","nic","nic",NA
"48104","19-8-18-7-10-88","nic","nic",NA
"48109","24-8-18-13-23-17","nic","nic",NA
"48133","23-8-17-8-40-L6","nic","nic",NA
"48142","24-8-18-13-52-24","nic","nic",NA
"48209","23-8-19-12-8-84","nic","nic",NA
"48245","22-8-19-8-18-75","nic","nic",NA
"48264","23-8-18-14-29-37","nic","nic",NA
"48287","19-8-22-19-7-15","nic","nic",NA
"48288","19-8-22-7-11-51","nic","nic",NA
"48320","23-8-19-12-6-86","nic","nic",NA
"48437","19-8-18-14-48-2","nic","nic",NA
"48445","23-8-18-14-24-33","nic","nic",NA
"48447","23-8-18-14-25-34","nic","nic",NA
"48475","22-8-19-8-15-72","nic","nic",NA
"48480","19-8-22-18-24-86","nic","nic",NA
"48511","19-8-18-19-2-39","nic","nic",NA
"48514","23-8-18-14-15-24","nic","nic",NA
"48543","19-8-22-18-7-75","nic","nic",NA
"48550","19-8-23-8-13-L8","nic","nic",NA
"48552","19-8-18-17-40-92","nic","nic",NA
"48586","23-8-15-11-40-50","nic","nic",NA
"48603","23-8-19-7-59-83","nic","nic",NA
"48613","19-8-18-17-16-50","nic","nic",NA
"48629","24-8-16-23-45-15","nic","nic",NA
"48660","24-8-17-14-3-L8","nic","nic",NA
"48679","23-8-20-7-24-55","nic","nic",NA
"48710","19-8-23-12-49-L6","nic","nic",NA
"48752","19-8-22-10-18-15","nic","nic",NA
"48778","23-8-15-15-18-24","nic","nic",NA
"48825","19-8-22-18-6-74","nic","nic",NA
"48883","22-8-19-8-14-71","nic","nic",NA
"48950","23-8-19-7-19-L8","nic","nic",NA
"48998","19-8-21-10-4-71","nic","nic",NA
"49009","19-8-21-10-13-77","nic","nic",NA
"49013","19-8-21-10-14-78","nic","nic",NA
"49018","19-8-18-14-2-96","nic","nic",NA
"49041","19-8-23-12-46-95","nic","nic",NA
"49043","19-8-23-12-58-98","nic","nic",NA
"49045","19-8-23-8-22-2","nic","nic",NA
"49055","23-8-19-11-36-6","nic","nic",NA
"49102","24-8-17-15-39-95","nic","nic",NA
"49103","24-8-17-0-40-66","nic","nic",NA
"49111","23-8-20-9-12-L7","nic","nic",NA
"49133","23-8-19-18-13-1","nic","nic",NA
"49134","23-8-15-14-52-11","nic","nic",NA
"49146","19-8-23-7-33-88","nic","nic",NA
"49224","24-8-17-15-42-92","nic","nic",NA
"49279","19-8-18-17-35-87","nic","nic",NA
"49317","24-8-18-16-24-73","nic","nic",NA
"49381","24-8-18-7-5-26","nic","nic",NA
"49395","19-8-18-11-14-L6","nic","nic",NA
"49403","19-8-18-11-31-L7","nic","nic",NA
"49422","19-8-18-12-23-L8","nic","nic",NA
"49442","23-8-14-15-42-32","nic","nic",NA
"49465","23-8-14-16-19-48","nic","nic",NA
"49483","23-8-14-16-44-93","nic","nic",NA
"49507","23-8-14-17-10-76","nic","nic",NA
"49551","23-8-14-17-47-53","nic","nic",NA
"49559","24-8-16-23-12-6","nic","nic",NA
"49560","23-8-15-7-11-L3","nic","nic",NA
"49568","19-8-22-9-30-35","nic","nic",NA
"49569","22-8-18-17-57-98","nic","nic",NA
"49571","23-8-15-16-12-62","nic","nic",NA
"49586","19-8-22-10-11-52","nic","nic",NA
"49590","19-8-18-16-53-63","nic","nic",NA
"49591","19-8-18-16-54-64","nic","nic",NA
"49595","23-8-15-7-57-27","nic","nic",NA
"49596","23-8-15-7-59-L8","nic","nic",NA
"49602","23-8-18-14-53-L1","nic","nic",NA
"49603","23-8-18-14-55-L9","nic","nic",NA
"49610","19-8-22-10-28-72","nic","nic",NA
"49611","19-8-18-17-13-75","nic","nic",NA
"49618","19-8-18-17-19-78","nic","nic",NA
"49619","23-8-18-16-17-L6","nic","nic",NA
"49629","23-8-15-8-36-60","nic","nic",NA
"49630","24-8-17-6-49-19","nic","nic",NA
"49634","23-8-15-8-47-64","nic","nic",NA
"49636","19-8-18-17-32-85","nic","nic",NA
"49649","23-8-15-9-1-73","nic","nic",NA
"49660","19-8-18-18-12-L1","nic","nic",NA
"49667","24-8-17-8-29-L10","nic","nic",NA
"49669","19-8-18-18-31-97","nic","nic",NA
"49672","24-8-17-8-38-L3","nic","nic",NA
"49677","24-8-17-8-58-L7","nic","nic",NA
"49680","23-8-15-9-22-86","nic","nic",NA
"49683","19-8-18-18-45-L2","nic","nic",NA
"49684","23-8-15-9-26-90","nic","nic",NA
"49687","19-8-18-18-51-L8","nic","nic",NA
"49695","24-8-17-9-25-91","nic","nic",NA
"49696","23-8-15-10-17-2","nic","nic",NA
"49697","24-8-17-9-26-90","nic","nic",NA
"49699","19-8-18-19-5-L1","nic","nic",NA
"49705","19-8-22-12-26-34","nic","nic",NA
"49710","24-8-17-9-45-81","nic","nic",NA
"49719","19-8-21-9-30-L3","nic","nic",NA
"49721","22-8-19-14-14-32","nic","nic",NA
"49722","19-8-21-9-35-L9","nic","nic",NA
"49723","19-8-21-9-41-84","nic","nic",NA
"49727","23-8-18-18-24-84","nic","nic",NA
"49730","19-8-17-7-56-20","nic","nic",NA
"49732","23-8-18-18-32-89","nic","nic",NA
"49739","23-8-18-18-38-94","nic","nic",NA
"49741","23-8-18-18-40-96","nic","nic",NA
"49752","23-8-15-11-10-33","nic","nic",NA
"49757","19-8-17-8-38-45","nic","nic",NA
"49764","19-8-17-8-49-50","nic","nic",NA
"49782","23-8-19-7-53-88","nic","nic",NA
"49790","23-8-19-8-4-80","nic","nic",NA
"49797","19-8-22-18-38-96","nic","nic",NA
"49853","19-8-22-19-28-33","nic","nic",NA
"49857","19-8-23-7-3-37","nic","nic",NA
"49883","19-8-23-8-37-92","nic","nic",NA
"49887","23-8-15-15-21-27","nic","nic",NA
"49888","23-8-15-15-23-28","nic","nic",NA
"49898","23-8-19-10-57-L10","nic","nic",NA
"49921","23-8-15-16-2-54","nic","nic",NA
"49924","24-8-17-14-6-L6","nic","nic",NA
"49927","19-8-18-7-9-87","nic","nic",NA
"49928","23-8-14-9-9-15","nic","nic",NA
"49934","19-8-22-7-28-80","nic","nic",NA
"49970","23-8-15-17-3-83","nic","nic",NA
"49975","23-8-15-17-7-88","nic","nic",NA
"49976","22-8-17-8-22-88","nic","nic",NA
"49984","19-8-21-14-53-50","nic","nic",NA
"49986","23-8-15-17-18-96","nic","nic",NA
"50000","23-8-16-8-44-54","nic","nic",NA
"50002","23-8-16-8-46-56","nic","nic",NA
"50017","23-8-16-8-56-64","nic","nic",NA
"50023","19-8-23-10-25-54","nic","nic",NA
"50026","19-8-21-15-20-63","nic","nic",NA
"50036","23-8-16-9-11-71","nic","nic",NA
"50042","24-8-17-17-54-93","nic","nic",NA
"50049","24-8-17-18-9-L3","nic","nic",NA
"50054","19-8-21-15-39-L5","nic","nic",NA
"50056","24-8-17-18-19-L10","nic","nic",NA
"50057","23-8-16-9-50-96","nic","nic",NA
"50061","24-8-17-18-38-L1","nic","nic",NA
"50064","24-8-17-18-46-L6","nic","nic",NA
"50069","23-8-19-15-39-35","nic","nic",NA
"50082","23-8-16-10-21-L4","nic","nic",NA
"50083","23-8-19-17-22-45","nic","nic",NA
"50090","23-8-16-10-42-L2","nic","nic",NA
"50098","24-8-18-6-54-38","nic","nic",NA
"50105","24-8-18-7-0-32","nic","nic",NA
"50112","23-8-16-11-4-17","nic","nic",NA
"50130","23-8-16-11-23-28","nic","nic",NA
"50144","23-8-13-12-45-84","nic","nic",NA
"50152","23-8-16-13-57-L6","nic","nic",NA
"50154","23-8-16-13-58-96","nic","nic",NA
"50227","19-8-21-18-51-72","nic","nic",NA
"50228","19-8-21-18-51-73","nic","nic",NA
"50230","22-8-17-15-52-1","nic","nic",NA
"50235","19-8-21-18-57-78","nic","nic",NA
"50237","19-8-21-19-0-80","nic","nic",NA
"50241","19-8-21-19-4-84","nic","nic",NA
"50247","23-8-16-17-1-39","nic","nic",NA
"50254","19-8-21-19-24-L10","nic","nic",NA
"50255","23-8-16-17-6-34","nic","nic",NA
"50269","19-8-17-17-43-29","nic","nic",NA
"50275","19-8-22-7-42-L9","nic","nic",NA
"50281","19-8-22-7-52-L5","nic","nic",NA
"50285","19-8-22-8-12-67","nic","nic",NA
"50297","19-8-22-8-26-79","nic","nic",NA
"50302","19-8-18-7-16-94","nic","nic",NA
"50309","19-8-22-8-59-L7","nic","nic",NA
"50310","23-8-14-9-33-28","nic","nic",NA
"50320","23-8-17-8-38-L10","nic","nic",NA
"50321","24-8-17-0-13-25","nic","nic",NA
"50322","24-8-17-0-16-26","nic","nic",NA
"50332","19-8-22-9-33-L2","nic","nic",NA
"50339","24-8-18-13-58-28","nic","nic",NA
"50355","19-8-22-10-5-8","nic","nic",NA
"50366","22-8-18-8-22-32","nic","nic",NA
"50369","23-8-17-9-47-L8","nic","nic",NA
"50380","23-8-20-15-24-88","nic","nic",NA
"50382","23-8-17-10-4-2","nic","nic",NA
"50393","19-8-22-10-52-28","nic","nic",NA
"50394","23-8-17-11-16-51","nic","nic",NA
"50396","22-8-18-8-48-52","nic","nic",NA
"50399","23-8-17-11-21-56","nic","nic",NA
"50436","24-8-18-17-26-94","nic","nic",NA
"50475","19-8-18-11-0-91","nic","nic",NA
"50486","23-8-17-13-36-98","nic","nic",NA
"50537","19-8-18-10-25-17","nic","nic",NA
"50545","19-8-22-13-21-L7","nic","nic",NA
"50554","23-8-18-18-1-72","nic","nic",NA
"50569","22-8-18-13-3-1","nic","nic",NA
"50590","22-8-18-13-25-14","nic","nic",NA
"50599","23-8-17-16-42-L2","nic","nic",NA
"50614","19-8-21-17-51-85","nic","nic",NA
"50622","22-8-18-17-20-72","nic","nic",NA
"50645","19-8-22-9-15-17","nic","nic",NA
"50655","19-8-22-8-17-72","nic","nic",NA
"50675","23-8-18-14-20-28","nic","nic",NA
"50677","23-8-18-14-21-29","nic","nic",NA
"50684","24-8-17-0-12-24","nic","nic",NA
"50690","23-8-15-7-57-28","nic","nic",NA
"50700","22-8-19-9-36-47","nic","nic",NA
"50701","19-8-22-10-27-70","nic","nic",NA
"50702","24-8-17-0-50-96","nic","nic",NA
"50710","24-8-17-6-26-7","nic","nic",NA
"50713","23-8-15-8-24-53","nic","nic",NA
"50714","23-8-15-8-23-52","nic","nic",NA
"50718","19-8-22-10-38-83","nic","nic",NA
"50731","23-8-19-13-55-88","nic","nic",NA
"50732","19-8-22-10-47-95","nic","nic",NA
"50744","23-8-18-16-56-17","nic","nic",NA
"50747","22-8-19-10-23-85","nic","nic",NA
"50748","24-8-17-7-28-46","nic","nic",NA
"50769","24-8-17-8-57-L9","nic","nic",NA
"50773","24-8-17-9-2-L6","nic","nic",NA
"50793","19-8-22-12-19-27","nic","nic",NA
"50794","24-8-17-9-35-86","nic","nic",NA
"50800","24-8-17-9-39-84","nic","nic",NA
"50809","23-8-18-18-14-78","nic","nic",NA
"50810","19-8-17-7-35-4","nic","nic",NA
"50817","19-8-21-9-38-L8","nic","nic",NA
"50844","23-8-18-19-3-L8","nic","nic",NA
"50850","23-8-15-11-16-38","nic","nic",NA
"50864","19-8-17-8-57-54","nic","nic",NA
"50865","19-8-17-8-57-55","nic","nic",NA
"50869","19-8-17-9-0-57","nic","nic",NA
"50875","19-8-17-9-13-63","nic","nic",NA
"50886","19-8-17-9-32-70","nic","nic",NA
"50888","24-8-17-11-18-L1","nic","nic",NA
"50891","19-8-22-18-39-98","nic","nic",NA
"50907","19-8-21-13-0-L7","nic","nic",NA
"50910","24-8-17-12-18-1","nic","nic",NA
"50915","19-8-22-18-59-11","nic","nic",NA
"50922","23-8-15-12-44-85","nic","nic",NA
"50953","19-8-23-7-7-40","nic","nic",NA
"50981","23-8-19-10-26-29","nic","nic",NA
"50984","23-8-19-10-30-L9","nic","nic",NA
"51007","23-8-19-11-48-98","nic","nic",NA
"51011","24-8-17-13-54-L3","nic","nic",NA
"51017","23-8-20-12-42-46","nic","nic",NA
"51024","19-8-18-7-13-91","nic","nic",NA
"51031","23-8-16-17-47-8","nic","nic",NA
"51044","23-8-15-16-44-71","nic","nic",NA
"51045","19-8-21-12-46-25","nic","nic",NA
"51050","19-8-22-10-15-57","nic","nic",NA
"51060","24-8-17-15-55-82","nic","nic",NA
"51061","24-8-17-15-56-81","nic","nic",NA
"51062","24-8-17-15-57-80","nic","nic",NA
"51066","23-8-15-17-5-85","nic","nic",NA
"51085","23-8-19-13-44-81","nic","nic",NA
"51086","23-8-19-13-46-82","nic","nic",NA
"51106","19-8-21-13-27-68","nic","nic",NA
"51108","23-8-14-11-6-93","nic","nic",NA
"51113","19-8-20-13-47-63","nic","nic",NA
"51120","19-8-21-15-21-64","nic","nic",NA
"51130","24-8-17-17-47-87","nic","nic",NA
"51155","23-8-16-10-0-88","nic","nic",NA
"51166","23-8-19-17-14-38","nic","nic",NA
"51193","24-8-18-6-55-37","nic","nic",NA
"51196","19-8-20-14-30-16","nic","nic",NA
"51197","19-8-20-14-31-17","nic","nic",NA
"51201","24-8-18-7-3-27","nic","nic",NA
"51222","23-8-19-18-36-15","nic","nic",NA
"51223","19-8-23-12-40-91","nic","nic",NA
"51237","23-8-13-12-45-83","nic","nic",NA
"51243","19-8-20-14-51-37","nic","nic",NA
"51244","24-8-18-8-33-51","nic","nic",NA
"51251","23-8-16-14-1-92","nic","nic",NA
"51281","24-8-18-9-27-72","nic","nic",NA
"51283","19-8-21-10-18-33","nic","nic",NA
"51284","19-8-21-10-19-34","nic","nic",NA
"51286","23-8-20-8-27-89","nic","nic",NA
"51291","23-8-20-8-53-94","nic","nic",NA
"51300","19-8-21-10-35-49","nic","nic",NA
"51302","19-8-21-10-36-51","nic","nic",NA
"51303","23-8-20-9-20-L1","nic","nic",NA
"51307","24-8-18-10-44-85","nic","nic",NA
"51312","19-8-21-10-48-61","nic","nic",NA
"51320","19-8-21-10-54-68","nic","nic",NA
"51321","19-8-21-10-56-70","nic","nic",NA
"51326","24-8-18-11-35-1","nic","nic",NA
"51327","19-8-21-11-1-76","nic","nic",NA
"51333","19-8-21-11-6-81","nic","nic",NA
"51337","19-8-21-11-8-83","nic","nic",NA
"51338","19-8-21-11-9-84","nic","nic",NA
"51343","23-8-20-11-41-15","nic","nic",NA
"51345","19-8-21-11-14-90","nic","nic",NA
"51352","23-8-16-17-8-32","nic","nic",NA
"51354","23-8-13-14-16-35","nic","nic",NA
"51372","23-8-20-12-34-38","nic","nic",NA
"51376","19-8-21-12-21-11","nic","nic",NA
"51377","19-8-18-6-59-79","nic","nic",NA
"51379","19-8-18-7-2-81","nic","nic",NA
"51381","23-8-18-13-57-16","nic","nic",NA
"51384","22-8-17-16-40-25","nic","nic",NA
"51386","23-8-16-17-40-11","nic","nic",NA
"51407","19-8-18-7-41-2","nic","nic",NA
"51413","19-8-22-10-15-56","nic","nic",NA
"51427","19-8-18-8-46-L6","nic","nic",NA
"51440","19-8-21-13-10-50","nic","nic",NA
"51448","24-8-18-14-54-39","nic","nic",NA
"51453","24-8-18-14-59-44","nic","nic",NA
"51464","19-8-21-13-24-64","nic","nic",NA
"51468","23-8-17-9-52-37","nic","nic",NA
"51473","23-8-14-11-13-88","nic","nic",NA
"51474","19-8-21-13-31-72","nic","nic",NA
"51477","23-8-17-11-8-45","nic","nic",NA
"51480","23-8-20-15-30-93","nic","nic",NA
"51490","19-8-21-13-41-84","nic","nic",NA
"51498","19-8-21-13-44-90","nic","nic",NA
"51512","24-8-18-17-2-78","nic","nic",NA
"51515","19-8-21-14-56-L7","nic","nic",NA
"51516","24-8-18-17-14-81","nic","nic",NA
"51519","19-8-21-15-6-L10","nic","nic",NA
"51520","19-8-21-14-58-L4","nic","nic",NA
"51523","24-8-18-17-20-88","nic","nic",NA
"51529","23-8-14-11-48-72","nic","nic",NA
"51530","23-8-14-11-49-71","nic","nic",NA
"51531","24-8-18-17-28-96","nic","nic",NA
"51534","24-8-18-17-35-L7","nic","nic",NA
"51579","23-8-14-14-42-L2","nic","nic",NA
"51607","19-8-21-15-55-29","nic","nic",NA
"51669","19-8-21-17-28-64","nic","nic",NA
"51696","19-8-18-14-3-95","nic","nic",NA
"51715","19-8-21-17-56-91","nic","nic",NA
"51718","19-8-21-17-59-95","nic","nic",NA
"51721","19-8-21-18-0-98","nic","nic",NA
"51726","19-8-22-9-4-7","nic","nic",NA
"51738","23-8-14-17-46-54","nic","nic",NA
"51743","23-8-15-7-8-1","nic","nic",NA
"51744","24-8-16-23-7-4","nic","nic",NA
"51752","19-8-22-8-20-74","nic","nic",NA
"51754","24-8-17-14-40-3","nic","nic",NA
"51756","19-8-22-8-25-78","nic","nic",NA
"51757","22-8-17-16-51-32","nic","nic",NA
"51761","23-8-15-16-34-64","nic","nic",NA
"51769","19-8-22-10-9-49","nic","nic",NA
"51773","19-8-18-7-40-1","nic","nic",NA
"51777","19-8-22-9-10-86","nic","nic",NA
"51779","23-8-17-8-35-L5","nic","nic",NA
"51788","23-8-15-8-3-35","nic","nic",NA
"51792","19-8-22-10-25-68","nic","nic",NA
"51795","19-8-18-17-9-72","nic","nic",NA
"51821","19-8-22-10-42-89","nic","nic",NA
"51832","19-8-18-17-39-91","nic","nic",NA
"51853","23-8-18-17-27-52","nic","nic",NA
"51858","24-8-17-8-30-L6","nic","nic",NA
"51866","23-8-15-9-20-84","nic","nic",NA
"51869","19-8-22-12-7-16","nic","nic",NA
"51875","24-8-17-9-14-L1","nic","nic",NA
"51878","23-8-18-17-48-64","nic","nic",NA
"51879","22-8-19-11-41-15","nic","nic",NA
"51881","22-8-19-11-44-17","nic","nic",NA
"51883","23-8-15-10-16-1","nic","nic",NA
"51887","19-8-22-12-21-29","nic","nic",NA
"51889","19-8-22-12-26-33","nic","nic",NA
"51892","23-8-20-8-23-82","nic","nic",NA
"51909","19-8-17-7-46-12","nic","nic",NA
"51910","19-8-22-17-25-L1","nic","nic",NA
"51911","19-8-17-7-48-13","nic","nic",NA
"51920","24-8-17-10-18-74","nic","nic",NA
"51930","23-8-16-10-51-L9","nic","nic",NA
"51942","23-8-18-19-13-27","nic","nic",NA
"51977","24-8-17-10-58-58","nic","nic",NA
"51979","19-8-22-18-28-90","nic","nic",NA
"51981","19-8-17-9-33-71","nic","nic",NA
"51983","24-8-17-11-22-L7","nic","nic",NA
"51995","23-8-15-12-33-78","nic","nic",NA
"52000","24-8-17-12-7-L6","nic","nic",NA
"52023","23-8-15-12-51-93","nic","nic",NA
"52047","19-8-23-7-8-41","nic","nic",NA
"52058","23-8-15-15-2-16","nic","nic",NA
"52076","23-8-19-10-27-L7","nic","nic",NA
"52077","23-8-19-10-28-L8","nic","nic",NA
"52083","23-8-16-17-9-L8","nic","nic",NA
"52098","23-8-15-15-50-48","nic","nic",NA
"52118","19-8-18-7-12-90","nic","nic",NA
"52125","19-8-22-8-29-81","nic","nic",NA
"52129","23-8-14-9-27-25","nic","nic",NA
"52134","19-8-18-7-38-L3","nic","nic",NA
"52138","19-8-22-9-8-L6","nic","nic",NA
"52140","19-8-22-9-10-85","nic","nic",NA
"52189","23-8-16-8-43-53","nic","nic",NA
"52227","24-8-17-17-48-88","nic","nic",NA
"52228","24-8-17-17-51-90","nic","nic",NA
"52233","24-8-18-16-22-71","nic","nic",NA
"52243","24-8-17-18-15-L8","nic","nic",NA
"52249","24-8-17-18-41-L9","nic","nic",NA
"52255","23-8-19-15-36-39","nic","nic",NA
"52256","23-8-16-10-8-80","nic","nic",NA
"52257","24-8-17-18-55-1","nic","nic",NA
"52274","19-8-21-16-35-L6","nic","nic",NA
"52282","23-8-19-17-55-54","nic","nic",NA
"52293","23-8-14-12-47-L6","nic","nic",NA
"52311","23-8-13-10-47-93","nic","nic",NA
"52330","23-8-13-12-43-85","nic","nic",NA
"52346","23-8-16-14-4-90","nic","nic",NA
"52379","19-8-17-16-3-L7","nic","nic",NA
"52401","19-8-21-18-39-63","nic","nic",NA
"52406","19-8-22-14-14-2","nic","nic",NA
"52407","19-8-21-10-45-59","nic","nic",NA
"52424","22-8-17-15-57-5","nic","nic",NA
"52431","19-8-18-14-9-91","nic","nic",NA
"52442","22-8-17-16-7-11","nic","nic",NA
"52445","19-8-21-11-18-96","nic","nic",NA
"52446","23-8-13-14-13-37","nic","nic",NA
"52450","23-8-13-14-18-33","nic","nic",NA
"52452","23-8-20-12-3-24","nic","nic",NA
"52456","19-8-22-7-29-63","nic","nic",NA
"52470","19-8-22-7-53-L6","nic","nic",NA
"52471","19-8-18-7-1-80","nic","nic",NA
"52473","19-8-22-9-20-22","nic","nic",NA
"52475","24-8-17-13-26-L4","nic","nic",NA
"52481","19-8-18-7-11-89","nic","nic",NA
"52497","23-8-16-17-55-2","nic","nic",NA
"52501","23-8-14-9-28-26","nic","nic",NA
"52504","19-8-22-10-14-54","nic","nic",NA
"52505","23-8-14-9-38-33","nic","nic",NA
"52520","23-8-17-9-12-8","nic","nic",NA
"52528","19-8-18-9-14-64","nic","nic",NA
"52536","24-8-17-16-17-L8","nic","nic",NA
"52538","23-8-15-8-25-54","nic","nic",NA
"52559","22-8-18-8-17-26","nic","nic",NA
"52565","23-8-14-11-10-90","nic","nic",NA
"52566","23-8-20-15-23-87","nic","nic",NA
"52576","23-8-20-15-32-96","nic","nic",NA
"52588","22-8-18-8-53-56","nic","nic",NA
"52599","24-8-17-13-29-L6","nic","nic",NA
"52651","23-8-17-11-59-84","nic","nic",NA
"52662","23-8-14-12-57-L8","nic","nic",NA
"52663","23-8-14-13-4-L9","nic","nic",NA
"52667","23-8-14-14-36-2","nic","nic",NA
"52673","19-8-18-11-13-96","nic","nic",NA
"52676","19-8-18-11-15-98","nic","nic",NA
"52692","19-8-18-12-3-L5","nic","nic",NA
"52703","19-8-18-12-24-L7","nic","nic",NA
"52709","23-8-14-15-23-22","nic","nic",NA
"52720","23-8-15-9-21-85","nic","nic",NA
"52722","24-8-18-16-23-72","nic","nic",NA
"52724","19-8-22-12-59-98","nic","nic",NA
"52743","23-8-14-16-16-46","nic","nic",NA
"52751","19-8-22-14-3-L8","nic","nic",NA
"52758","23-8-14-16-37-98","nic","nic",NA
"52761","23-8-14-16-42-95","nic","nic",NA
"52765","23-8-17-15-39-52","nic","nic",NA
"52766","23-8-14-16-46-92","nic","nic",NA
"52770","22-8-17-14-58-92","nic","nic",NA
"52772","24-8-18-10-49-90","nic","nic",NA
"52784","19-8-18-13-56-L5","nic","nic",NA
"52793","22-8-18-13-43-26","nic","nic",NA
"52802","23-8-17-16-54-13","nic","nic",NA
"52840","19-8-21-13-46-94","nic","nic",NA
"52843","23-8-17-9-11-7","nic","nic",NA
"52851","23-8-15-16-8-59","nic","nic",NA
"52853","23-8-14-9-16-19","nic","nic",NA
"52856","19-8-22-8-54-L3","nic","nic",NA
"52860","23-8-15-7-29-17","nic","nic",NA
"52875","24-8-17-0-18-28","nic","nic",NA
"52879","23-8-15-8-1-32","nic","nic",NA
"52881","19-8-22-10-23-65","nic","nic",NA
"52887","24-8-17-0-48-85","nic","nic",NA
"52888","23-8-18-15-5-L10","nic","nic",NA
"52890","23-8-15-8-13-44","nic","nic",NA
"52892","23-8-15-8-14-45","nic","nic",NA
"52898","24-8-17-6-29-9","nic","nic",NA
"52899","23-8-17-9-23-15","nic","nic",NA
"52909","23-8-18-16-21-4","nic","nic",NA
"52915","19-8-22-10-11-11","nic","nic",NA
"52917","23-8-19-13-52-86","nic","nic",NA
"52920","23-8-16-8-46-57","nic","nic",NA
"52925","19-8-21-17-50-84","nic","nic",NA
"52933","19-8-18-17-47-98","nic","nic",NA
"52940","19-8-18-18-9-L2","nic","nic",NA
"52949","22-8-19-10-44-98","nic","nic",NA
"52952","24-8-17-17-45-85","nic","nic",NA
"52956","23-8-13-9-30-56","nic","nic",NA
"52960","19-8-21-12-32-L5","nic","nic",NA
"52966","19-8-18-18-51-L7","nic","nic",NA
"52974","19-8-22-12-15-23","nic","nic",NA
"52975","24-8-17-9-24-92","nic","nic",NA
"52981","19-8-22-12-20-28","nic","nic",NA
"52982","23-8-18-18-0-71","nic","nic",NA
"52983","23-8-15-10-21-6","nic","nic",NA
"52984","22-8-18-12-3-4","nic","nic",NA
"52995","19-8-17-8-27-38","nic","nic",NA
"53004","23-8-15-10-40-13","nic","nic",NA
"53010","19-8-17-7-50-16","nic","nic",NA
"53037","23-8-17-12-6-92","nic","nic",NA
"53045","23-8-16-11-20-25","nic","nic",NA
"53051","23-8-20-7-12-46","nic","nic",NA
"53074","23-8-19-8-8-78","nic","nic",NA
"53078","24-8-17-11-22-L8","nic","nic",NA
"53084","19-8-18-7-33-75","nic","nic",NA
"53089","24-8-17-11-36-L1","nic","nic",NA
"53091","24-8-17-12-5-L8","nic","nic",NA
"53092","24-8-17-12-3-L7","nic","nic",NA
"53096","23-8-20-8-14-78","nic","nic",NA
"53099","19-8-21-18-2-41","nic","nic",NA
"53138","19-8-22-9-55-1","nic","nic",NA
"53142","19-8-23-7-13-46","nic","nic",NA
"53150","23-8-15-14-56-15","nic","nic",NA
"53201","19-8-22-7-55-L10","nic","nic",NA
"53202","24-8-17-17-52-91","nic","nic",NA
"53207","19-8-21-17-49-28","nic","nic",NA
"53218","19-8-21-14-17-28","nic","nic",NA
"53219","19-8-18-7-19-L10","nic","nic",NA
"53223","19-8-22-8-56-L1","nic","nic",NA
"53228","23-8-14-9-23-23","nic","nic",NA
"53232","23-8-14-9-36-32","nic","nic",NA
"53233","23-8-17-8-19-L2","nic","nic",NA
"53241","24-8-17-15-44-91","nic","nic",NA
"53243","24-8-17-15-48-88","nic","nic",NA
"53253","22-8-17-8-15-92","nic","nic",NA
"53256","22-8-17-8-21-89","nic","nic",NA
"53257","22-8-17-8-24-87","nic","nic",NA
"53259","23-8-15-17-10-L5","nic","nic",NA
"53260","22-8-17-8-26-85","nic","nic",NA
